Quality;Description
(0.23010299625468167, 'UBWG', 0.6458333333333334, 'UBW', 0.4157303370786517);['deck_DraugrRecruiter_1', 'deck_StorySeeker_0', 'deck_Doomskar_0']
(0.23010299625468167, 'UBWG', 0.6458333333333334, 'UBW', 0.4157303370786517);['deck_DraugrRecruiter_1', 'deck_Doomskar_0', 'deck_StorySeeker_0']
(0.23003927471131908, 'UBWG', 0.6508313539192399, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_FrostpyreArcanist_0', 'deck_SnakeskinVeil_0']
(0.23003927471131908, 'UBWG', 0.6508313539192399, 'UBW', 0.4207920792079208);['deck_FrostpyreArcanist_0', 'deck_VolatileFjord_1', 'deck_SnakeskinVeil_0']
(0.23003927471131908, 'UBWG', 0.6508313539192399, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_SnakeskinVeil_0', 'deck_FrostpyreArcanist_0']
(0.2298408321844843, 'UBWG', 0.6506329113924051, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_FrostpyreArcanist_0', 'deck_ElderleafMentor_0']
(0.2298408321844843, 'UBWG', 0.6506329113924051, 'UBW', 0.4207920792079208);['deck_FrostpyreArcanist_0', 'deck_VolatileFjord_1', 'deck_ElderleafMentor_0']
(0.2298408321844843, 'UBWG', 0.6506329113924051, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_ElderleafMentor_0', 'deck_FrostpyreArcanist_0']
(0.22971491228070173, 'UBWG', 0.6359649122807017, 'UBW', 0.40625);['deck_DraugrRecruiter_1', 'deck_StarnheimCourser_0', 'deck_BindtheMonster_0']
(0.22971491228070173, 'UBWG', 0.6359649122807017, 'UBW', 0.40625);['deck_DraugrRecruiter_1', 'deck_BindtheMonster_0', 'deck_StarnheimCourser_0']
(0.2296268656716418, 'UBWG', 0.655, 'UBW', 0.4253731343283582);['deck_DraugrRecruiter_1', 'deck_ShepherdoftheCosmos_0', 'deck_BindtheMonster_0']
(0.2296268656716418, 'UBWG', 0.655, 'UBW', 0.4253731343283582);['deck_DraugrRecruiter_1', 'deck_BindtheMonster_0', 'deck_ShepherdoftheCosmos_0']
(0.22932590813132414, 'UBWG', 0.6359649122807017, 'UBW', 0.4066390041493776);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_GatesofIstfell_0']
(0.22932590813132414, 'UBWG', 0.6359649122807017, 'UBW', 0.4066390041493776);['deck_DraugrRecruiter_1', 'deck_GatesofIstfell_0', 'deck_BoundinGold_0']
(0.22908734279450793, 'UBWG', 0.654320987654321, 'UBW', 0.4252336448598131);['deck_VolatileFjord_1', 'deck_AscendantSpirit_0', 'deck_TheBearsofLittjara_0']
(0.22908734279450793, 'UBWG', 0.654320987654321, 'UBW', 0.4252336448598131);['deck_VolatileFjord_1', 'deck_TheBearsofLittjara_0', 'deck_AscendantSpirit_0']
(0.22905790579057905, 'UBWG', 0.66996699669967, 'UBW', 0.4409090909090909);['deck_VolatileFjord_1', 'deck_SnakeskinVeil_0', 'deck_GnottvoldRecluse_0']
(0.22905790579057905, 'UBWG', 0.66996699669967, 'UBW', 0.4409090909090909);['deck_VolatileFjord_1', 'deck_GnottvoldRecluse_0', 'deck_SnakeskinVeil_0']
(0.2288289761461889, 'UBWG', 0.6354679802955665, 'UBW', 0.4066390041493776);['deck_DraugrRecruiter_1', 'deck_KarfellKennelMaster_0', 'deck_Doomskar_0']
(0.2288289761461889, 'UBWG', 0.6354679802955665, 'UBW', 0.4066390041493776);['deck_DraugrRecruiter_1', 'deck_Doomskar_0', 'deck_KarfellKennelMaster_0']
(0.2286554258538694, 'UBWG', 0.6488888888888888, 'UBW', 0.42023346303501946);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_StrategicPlanning_0']
(0.22863849765258215, 'UBWG', 0.6619718309859155, 'UBW', 0.43333333333333335);['deck_DraugrRecruiter_1', 'deck_ShepherdoftheCosmos_0', 'deck_StorySeeker_0']
(0.22863849765258215, 'UBWG', 0.6619718309859155, 'UBW', 0.43333333333333335);['deck_DraugrRecruiter_1', 'deck_StorySeeker_0', 'deck_ShepherdoftheCosmos_0']
